municipios,porctX,porctY,capital,prop.mulheres,n.mulheres,n.homens,IFDM,IFDM.renda,IFDM.educacao,IDHM,IDHM.renda,IDHM.educacao,homicidios,PIB,per.capta,diversidade,timestamp,cobertura,densidade,atividade,atualidade,data,populacao,cultura
Goiania,42,46,1,0.470975945,620816,681076,0.8239,0.8864,0.706,0.832,0.813,0.933,518,24445743957,18777.09,1.026243,1317421859,14.30667645,31,723,-10,Sep 30 2011,1318148,centro-oeste
Guarulhos,74,87.8,0,0.482719006,595403,626954,0.8248,0.846,0.7672,0.798,0.748,0.907,247,37139403991,30383.43,3.342069,1315596944,29.6969697,8,4349,-10,Sep 09 2011,1233436,sudeste
Jaboatao dos Guararapes,66,29.5,0,0.469138348,304840,339859,0.7055,0.7534,0.5809,0.777,0.685,0.848,281,8359552124,12966.6,2.162646,1322291848,31.49350649,66,3688,-8,Nov 26 2011,649787,nordeste
Joao Pessoa,66.8,27,1,0.460674019,337745,385769,0.7488,0.819,0.6274,0.783,0.743,0.885,581,9805587175,13552.73,1.006001,1322378173,50,117,3666,-11,Nov 27 2011,733154,nordeste
Juiz de Fora,87,81,0,0.470290509,244932,272940,0.8066,0.7828,0.7667,0.828,0.781,0.92,63,8314430514,16054.99,1.116809,1328747545,11.57894737,177,1052,-5,Feb 08 2012,520810,sudeste
Jundiai,72.5,87.5,0,0.48192597,180102,190149,0.9184,0.9804,0.8527,0.857,0.826,0.928,32,20124599884,54353.94,2.214614,1325199586,28.88888889,103,3695,-10,Dec 29 2011,373713,sudeste
Macapa,40,11,1,0.480309467,195497,202416,0.6964,0.8462,0.5929,0.772,0.697,0.904,195,5215129810,13106.21,0.9965413,1336444299,21.56862745,752,25443,-5,May 07 2012,407023,norte
Maceio,65.7,32.3,1,0.462730183,436405,496203,0.7282,0.796,0.5739,0.739,0.715,0.834,1025,12114090367,12989.48,1.043295,1323052540,12.60606061,379,4735,-10,Dec 04 2011,943109,nordeste
Manaus,23,19,1,0.480179281,879893,922632,0.7407,0.8654,0.6476,0.774,0.703,0.909,842,48598153155,26961.15,1.001214,1327160185,12.56377551,1149,16473,-9,Jan 21 2012,1832426,norte
Maua,75.2,89.3,0,0.48477625,204180,213101,0.8351,0.8136,0.8189,0.781,0.71,0.909,51,7352092676,17619.04,3.081156,1323840040,70.23809524,69,3943,-10,Dec 14 2011,421184,sudeste
Niteroi,88,87,0,0.460825795,225671,261656,0.8454,0.849,0.7969,0.886,0.891,0.96,79,11214103384,23011.46,3.474731,1312992032,39.56043956,163,3620,-11,Aug 10 2011,489710,sudeste
Nova Iguacu,86,85,0,0.477065805,381198,414014,0.7181,0.778,0.6496,0.762,0.686,0.884,320,9496659538,11942.3,0.9930035,1319959399,29,60,14150,-12,Oct 30 2011Ê,799047,sudeste
Olinda,66.8,30,0,0.4587504,173654,201905,0.6954,0.6941,0.6135,0.792,0.699,0.889,159,3108009750,8275.69,2.558824,1328199237,57.5,22,4148,-8,Feb 02 2012,378537,nordeste
Osasco,72.5,89,0,0.479568031,320268,346201,0.8566,0.853,0.8256,0.818,0.769,0.913,150,36389079615,54599.81,2.999055,1322782551,83.33333333,23,5290,-10,Dec 01 2011,667826,sudeste
Recife,66.8,29,1,0.458490568,709063,827871,0.787,0.8814,0.6701,0.797,0.77,0.894,890,30032003262,19540.2,1.043824,1323598311,31.73374613,207,7552,-7,Dec 11 2011,1546516,nordeste
Ribeirao Preto,72,81,0,0.474060937,290286,314828,0.881,0.8716,0.8586,0.855,0.823,0.918,72,17004019386,28100.52,1.037442,1320110245,11.22685185,105,3004,-9,Oct 31 2011,612339,sudeste
Rio de Janeiro,86,87,1,0.465855532,2960954,3362083,0.8295,0.8506,0.7992,0.842,0.84,0.933,1535,1.90249e+11,30088.24,1.000047,1319603907,52.4,191,21142,-12,Oct 26 2011,6355949,sudeste
Salvador,61.4,38.7,1,0.463802599,1249301,1427305,0.7407,0.862,0.6109,0.805,0.746,0.924,1484,36744670494,13728.08,4.350565,1317552674,12.41319444,43,618,-9,Oct 02 2011,2693605,nordeste
Santos,75,91.5,0,0.24934145,192056,227701,0.8709,0.8178,0.9057,0.871,0.873,0.952,62,27616034703,65790.53,4.175528,1321919899,15.68322981,93,2557,-8,Nov 21 2011,770253,sudeste
Sao Bernardo do Campo,74.5,90,0,0.479698229,369489,395714,0.8702,0.853,0.8448,0.834,0.812,0.94,60,35578585816,46495.62,1.659228,1325396223,66.25,18,4302,-9,Jan 01 2012,770253,sudeste
Sao Goncalo,88,86,0,0.471533553,475336,524565,0.7434,0.699,0.6777,0.782,0.707,0.896,202,10340755899,10341.78,3.225732,1318673118,19.10714286,2,3893,-9,Oct 15 2011,1008064,sudeste
Sao Joao de Meriti,85,86.5,0,0.47540484,218391,240965,0.6858,0.7029,0.6202,0.774,0.683,0.895,135,4826211740,10506.47,3.52938,1320952834,80,93,3693,-11,Nov 10 2011,459379,sudeste
Sao Jose dos Campos,78,89,0,0.482659105,307394,320150,0.8611,0.8452,0.8563,0.849,0.8,0.933,66,24117144924,38431,1.142135,1326888624,25.25,73,1583,-9,Jan 18 2012,636876,sudeste
Sao Paulo,73.5,88.5,1,0.470423728,5323385,5920984,0.8469,0.8513,0.8125,0.841,0.843,0.919,1460,4.436e+11,39450.87,1.06717,1319975744,26.521524,93,38827,-12,Oct 30 2011,11316149,sudeste
Serra,96,76,0,0.484118857,201407,207917,0.8133,0.8709,0.7196,0.761,0.683,0.896,381,12703016879,31034.14,2.310811,1329013103,15.17857143,85,1036,-8,Feb 11 2012,416028,sudeste
Sorocaba,71.5,89,0,0.483007873,286798,299513,0.8797,0.8763,0.8546,0.828,0.792,0.915,102,16127235904,27506.28,1.72515,1329167649,22.22222222,196,1498,-5,Feb 13 2012,593775,sudeste
Uberlandia,70,71,0,0.479022002,293115,307170,0.8274,0.8475,0.7247,0.83,0.768,0.92,152,18286903941,30463.7,1,1321297828,7.31292517,267,1953,-11,Nov 14 2011,611903,sudeste
