municipios,porctX,porctY,capital,prop.mulheres,n.mulheres,n.homens,IFDM,IFDM.renda,IFDM.educacao,IDHM,IDHM.renda,IDHM.educacao,homicidios,PIB,per.capta,diversidade,timestamp,cobertura,densidade,atividade,atualidade,data,populacao,cultura
Ananindeua,44,16,0,0.47392777,226537,245207,0.6943,0.7372,0.5817,0.782,0.647,0.913,744,3669746984,7779.11,0.9673948,1335953842,45.71428571,183,3067,-5,May 02 2012,477999,norte
Aracaju,63.5,35.5,1,0.464539026,265321,305616,0.7681,0.8085,0.6732,0.794,0.752,0.901,240,8751493737,15328.3,1.049694,1316646551,29.76190476,34,1307,-10,Sep 21 2011,571149,nordeste
Belford Roxo,85,85.5,0,0.521911553,226757,242504,0.6067,0.5563,0.5701,0.742,0.642,0.873,40,4467554861,9520.41,4.069689,1319422716,48.61,14,3243,-12,Oct 23 2011,434474,sudeste
Belo Horizonte,84,74,1,0.466815809,1113654,1261790,0.8123,0.8612,0.7177,0.839,0.828,0.929,830,51661760194,21748.25,1.072911,1316373037,35.8974359,10,9586,-10,Sep 18 2011,2385639,sudeste
Betim,83,75,0,0.485189144,186104,191443,0.8174,0.9235,0.6785,0.775,0.66,0.885,215,28297360023,74950.56,4.468021,1310584392,15,7,2313,-12,Jul 13 2011,383570,sudeste
Brasilia,45,45,1,0.469440003,1225237,1337726,0.8155,0.8448,0.7747,0.844,0.842,0.935,880,1.49906e+11,58489.46,0.9959309,1320949881,8.13564985,78,18186,-11,Nov 10 2011,2609997,centro-oeste
Campina Grande,65,27.5,0,0.470146501,182249,203027,0.7022,0.7548,0.636,0.721,0.678,0.844,218,4336824388,11256.41,0.9212175,1333429335,17.04545455,2411,1117,-6,Apr 03 2012,387643,nordeste
Campinas,71.5,86.5,0,0.478783514,521209,559790,0.8709,0.849,0.8391,0.852,0.845,0.925,192,36688628768,33939.56,1.585325,1322008230,27.09447415,20,8286,-11,Nov 22 2011,1088611,sudeste
Campo Grande,33,56,1,0.479174935,381544,405660,0.8351,0.8361,0.7723,0.814,0.771,0.915,171,13875046175,17625.73,1,1318821139,14.5,267,3505,-12,Oct 17 2011,796252,centro-oeste
Campos dos Goytacazes,93,82,0,0.476621817,223100,240445,0.7255,0.6162,0.7216,0.752,0.693,0.867,193,25313179344,54607.81,0.9475309,1328640091,2.530779754,4,972,-8,Feb 07 2012,468086,sudeste
Caxias do Sul,39,74,0,0.483869287,213547,221935,0.8308,0.8975,0.7146,0.857,0.807,0.945,123,15692358721,36034.46,1.061802,1328215434,8.012820513,291,4385,-8,Feb 02 2012,441332,sul
Contagem,83,73,0,0.480731509,292628,310420,0.806,0.8314,0.7408,0.789,0.714,0.901,254,18539693132,30743.31,3.501855,1316075865,41.55844156,5,2964,-10,Sep 15 2011,608714,sudeste
Curitiba,43,66,1,0.471794349,832500,914396,0.8687,0.8975,0.7684,0.856,0.846,0.946,979,53106496771,30400.49,1.030425,1321078398,45,339,23270,-11,ÊNov 12 2011,1764540,sul
Diadema,73.5,90,0,0.480607347,186752,199287,0.8507,0.8605,0.8047,0.79,0.721,0.901,130,11254522706,29153.85,4.106312,1314196180,76.66666667,25,3612,-14,Aug 24 2011,388575,sudeste
Duque de Caxias,86,86,0,0.477217279,410959,444087,0.7562,0.8962,0.6094,0.753,0.678,0.873,542,26496845303,30988.8,3.50179,1316485323,11.24260355,80,3630,-10,Sep 19 2011,861157,sudeste
Fortaleza,60,20,1,0.462652059,1145799,1301610,0.7398,0.8599,0.6526,0.786,0.729,0.884,1125,37106309475,15161.47,1.013145,1325776964,43.29371817,335,22138,-9,Jan 05 2012,2476589,nordeste
