Cidade,Diversidade,Timestamp,Cobertura,Densidade,Atividade,Atualidade,Data,PIB,Per.capita,UF,Homicidios.2010,Taxas.2010,Homens,Mulheres,populacao,capital,IDHM,IFDM,atividadePor100Hab
maua,0.32,1323840040,70.24,69,3943,10,Dec 14 2011,7352092676,17619.04,SP,51,12.2,204180,213101,417281,0,781,0.8351,944.926799926189
mogi das cruzes,2.3,1329870834,16.47,12,2234,8, Feb 21 2012,8810329130,22751.54,SP,45,11.6,188658,198583,387241,0,801,0.8368,576.901722699817
montes claros,1.94,1327445888,12.15,50,641,6,Jan 24 2012 ,4501661518,12436.53,MG,92,25.4,174281,187690,361971,0,783,0.8056,177.086009652707
natal,0.4,1319880275,18.18,6,12639,12,Oct 29 2011 ,11997401163,14925.65,RN,260,32.3,378004,425807,803811,1,788,0.8156,1572.38455308524
niteroi,1.08,1312992032,39.56,163,3620,11,Aug 10 2011,11214103384,23011.46,RJ,79,16.2,225671,261656,487327,0,886,0.8454,742.827711167245
nova iguacu,6.25,1317914166,15.55,44,4637,9,Oct 06 2011,9496659538,11942.3,RJ,320,40.2,381198,414014,795212,0,762,0.7181,583.114942933457
olinda,1.26,1315374704,65.48,19,2716,10,Sep 07 2011,3108009750,8275.69,PE,159,42.1,173654,201905,375559,0,792,0.6954,723.18863347703
osasco,1.03,1314420610,76.97,10,3905,11,Aug 27 2011,36389079615,54599.81,SP,150,22.5,320268,346201,666469,0,818,0.8566,585.923726384873
piracicaba,1.82,1321203174,5.99,21,722,8,Nov 13 2011,10931268209,29959.19,SP,62,17.0,178538,186334,364872,0,836,0.8729,197.877611874849
porto alegre,1,1317313208,42.5,58,14067,13,Sep 29 2011,43038100197,30524.8,RS,518,36.8,654022,755917,1409939,1,865,0.8155,997.702737494317
porto velho,1.96,1321986548,17.62,71,748,8,Nov 22 2011,7522929261,17636.36,RO,213,49.7,215561,210997,426558,0,763,0.8072,175.357161277013
recife,1,1324696218,66.67,347,7785,10,Dec 24 2011,30032003262,19540.2,PE,890,57.9,709063,827871,1536934,1,797,0.787,506.527931583269
ribeirao preto,1.14,1323186757,17.6,18,3111,10,Dec 06 2011,17004019386,28100.52,SP,72,11.9,290286,314828,605114,0,855,0.881,514.118000905615
rio de janeiro,1,1319603907,52.4,191,21142,12,Oct 26 2011,190249042855,30088.24,RJ,1535,24.3,2960954,3362083,6323037,1,842,0.8295,334.364641548041
salvador,1.62,1317552674,12.41,43,618,9,Oct 02 2011,36744670494,13728.08,BA,1484,55.5,1249301,1427305,2676606,1,805,0.7407,23.0889417418925
santo andre,1.02,1315649316,25.57,13,4175,10,Sep 10 2011,17258468054,25609.3,SP,106,15.7,323208,350706,673914,0,835,0.8911,619.515249720291
santos,1.14,1321919899,15.68,93,2557,8,Nov 21 2011,27616034703,65790.53,SP,62,14.8,192056,227701,419757,0,871,0.8709,609.161967519303
sao bernardo do campo,0.6,1325396223,66.25,18,4302,9,Jan 01 2012,35578585816,46495.62,SP,60,7.8,369489,395714,765203,0,834,0.8702,562.203755081985
sao goncalo,1.06,1318673118,19.11,2,3893,9,Oct 15 2011,10340755899,10341.78,RJ,202,20.2,475336,524565,999901,0,782,0.7434,389.338544515907
sao joao de meriti,1.06,1315730209,61.46,179,3527,10,Sep 11 2011,4826211740,10506.47,RJ,135,29.4,218391,240965,459356,0,774,0.6858,767.814070132969
sao jose dos campos,1.67,1319735831,7.24,116,1879,9,Oct 27 2011,24117144924,38431,SP,66,10.5,307394,320150,627544,0,849,0.8611,299.421235801792
sao luis,1,1330978395,22.48,70,2318,7,Mar 05 2012,17915048341,17703.61,MA,569,56.1,473762,538181,1011943,1,778,0.7831,229.064285241362
sao paulo,1.03,1320173703,23,16,12976,8,Nov 01 2011,443600101653,39450.87,SP,1460,13.0,5323385,5920984,11244369,1,841,0.8469,115.399983760761
serra,1.76,1325507143,10.92,4,631,6,Jan 02 2012,12703016879,31034.14,ES,381,93.1,201407,207917,409324,0,761,0.8133,154.156609434091
sorocaba,1.87,1329167649,22.22,196,1498,5,Feb 13 2012,16127235904,27506.28,SP,102,17.4,286798,299513,586311,0,828,0.8797,255.495803421734
teresina,1.86,1314378262,7.2,43,1827,11,Aug 26 2011,10539377697,12940.66,PI,251,30.8,380693,433746,814439,1,766,0.8181,224.326192630756
uberlandia,1,1321297828,7.31,267,1953,11,Nov 14 2011,18286903941,30463.7,MG,152,25.2,293115,307170,600285,0,830,0.8274,325.34546090607
vila velha,1,1341582774,10.68,3,82,4,Jul 06 2012,6978689536,16839.65,ES,215,51.9,199083,215337,414420,0,817,0.7989,19.7866898315718
