municipio	IFDM	IFDM.renda	IFDM.educacao	IFDM.saude
Campo Grande	0.8351	0.8361	0.7723	0.8969
Brasilia	0.8155	0.8448	0.7747	0.8270
Goiania	0.8239	0.8864	0.7060	0.8791
Maceio	0.7282	0.7960	0.5739	0.8147
Recife	0.7870	0.8814	0.6701	0.8095
Joao Pessoa	0.7488	0.8190	0.6274	0.8000
Salvador	0.7407	0.8620	0.6109	0.7493
Fortaleza	0.7398	0.8599	0.6526	0.7069
Olinda	0.6954	0.6941	0.6135	0.7787
Jaboatao dos Guararapes	0.7055	0.7534	0.5809	0.7823
Campina Grande	0.7022	0.7548	0.6360	0.7158
Aracaju	0.7681	0.8085	0.6732	0.8226
Macapa	0.6964	0.8462	0.5929	0.6500
Ananindeua	0.6943	0.7372	0.5817	0.7639
Manaus	0.7407	0.8654	0.6476	0.7090
Betim	0.8174	0.9235	0.6785	0.8502
Juiz de Fora	0.8066	0.7828	0.7667	0.8705
Maua	0.8351	0.8136	0.8189	0.8726
Belo Horizonte	0.8123	0.8612	0.7177	0.8581
Contagem	0.8060	0.8314	0.7408	0.8457
Uberlandia	0.8274	0.8475	0.7247	0.9101
Belford Roxo	0.6067	0.5563	0.5701	0.6937
Nova Iguacu	0.7181	0.7780	0.6496	0.7268
Campos dos Goytacazes	0.7255	0.6162	0.7216	0.8387
Duque de Caxias	0.7562	0.8962	0.6094	0.7631
Sao Joao de Meriti	0.6858	0.7029	0.6202	0.7342
Sao Goncalo	0.7434	0.6990	0.6777	0.8534
Rio de Janeiro	0.8295	0.8506	0.7992	0.8388
Sao Jose dos Campos	0.8611	0.8452	0.8563	0.8819
Osasco	0.8566	0.8530	0.8256	0.8913
Sao Paulo	0.8469	0.8513	0.8125	0.8768
Sorocaba	0.8797	0.8763	0.8546	0.9083
Serra	0.8133	0.8709	0.7196	0.8495
Sao Bernardo do Campo	0.8702	0.8530	0.8448	0.9126
Santos	0.8709	0.8178	0.9057	0.8893
Jundiai	0.9184	0.9804	0.8527	0.9222
Campinas	0.8709	0.8490	0.8391	0.9245
Guarulhos	0.8248	0.8460	0.7672	0.8612
Diadema	0.8507	0.8605	0.8047	0.8868
Niteroi	0.8454	0.8490	0.7969	0.8902
Ribeirao Preto	0.8810	0.8716	0.8586	0.9130
Curitiba	0.8687	0.8975	0.7684	0.9403
Porto Alegre	0.8155	0.8531	0.7159	0.8775
Florianopolis	0.8323	0.8631	0.7728	0.8612
Joinville	0.8328	0.8726	0.7887	0.8370
Caxias do Sul	0.8308	0.8975	0.7146	0.8801
Cariacica	0.8010	0.7776	0.7907	0.8348
Vila Velha	0.7989	0.7400	0.7971	0.8596
Aparecida de Goiania	0.7586	0.7285	0.6703	0.8770
Feira de Santana	0.7245	0.7779	0.6389	0.7567
Londrina	0.8828	0.8788	0.8222	0.9475
Mogi das Cruzes	0.8368	0.7670	0.8717	0.8716
Piracicaba	0.8729	0.7788	0.9525	0.8873
Santo Andre	0.8911	0.8649	0.9089	0.8994
Montes Claros	0.8056	0.7717	0.8347	0.8104
Porto Velho	0.8072	0.9786	0.7148	0.7284
Sao Luis	0.7831	0.8028	0.7877	0.7589
Teresina	0.8181	0.8496	0.7941	0.8107
Belem	0.7855	0.8965	0.6752	0.7849
Natal	0.8156	0.9017	0.7337	0.8112
